word,count
community,80
people,62
us,38
world,36
social,31
help,26
communities,25
global,24
facebook,24
infrastructure,24
content,23
groups,23
many,22
share,20
like,19
important,19
building,19
around,18
together,18
build,16
new,16
friends,15
even,14
want,14
must,13
local,13
across,13
safe,12
need,12
news,12
issues,11
work,11
standards,11
see,11
tools,10
today,10
media,10
personal,10
connect,10
one,10
built,10
common,10
come,10
hope,9
also,9
part,9
well,9
understanding,8
example,8
information,8
may,8
every,8
civic,8
always,8
greatest,8
different,8
opportunity,8
whether,8
time,8
system,7
past,7
positive,7
two,7
make,7
years,7
group,7
society,7
safety,7
engagement,7
online,7
take,7
cultural,7
collective,7
perspectives,7
support,7
existing,6
experience,6
values,6
give,6
reflect,6
meaningful,6
harm,6
year,6
could,6
way,6
norms,6
strengthen,6
seen,6
ideas,6
worldwide,6
find,6
impact,6
representatives,6
reading,6
taking,6
informed,6
largest,6
often,6
connecting,6
sensationalism,6
physical,6
helps,5
ever,5
use,5
governance,5
process,5
taken,5
keeping,5
something,5
keep,5
needs,5
improving,5
better,5
everyone,5
related,5
since,5
millions,5
nudity,5
objectionable,5
sometimes,5
voting,5
show,5
going,5
progress,5
cities,5
vote,5
would,5
create,5
quickly,5
voice,5
things,5
discourse,5
identify,5
questions,5
know,5
right,5
range,5
forward,5
made,5
videos,5
ai,5
diversity,5
power,5
focus,4
tv,4
crises,4
bringing,4
governments,4
misinformation,4
large,4
team,4
leaders,4
giving,4
public,4
others,4
alone,4
suggests,4
crisis,4
sports,4
organizations,4
history,4
already,4
greater,4
effects,4
idea,4
research,4
million,4
story,4
messages,4
times,4
nations,4
polarization,4
bring,4
participate,4
based,4
countries,4
approach,4
review,4
recently,4
afterwards,4
families,4
lives,4
look,4
developing,4
might,4
good,4
technology,4
speech,4
terrorism,4
person,4
without,4
opinions,4
less,4
humanity,4
real,4
possible,4
towards,4
examples,4
scale,4
participation,4
become,4
favorite,4
rebuild,4
political,4
fabric,4
long,4
cultures,4
billion,4
best,4
violence,4
check,4
problems,4
helping,4
relationships,3
number,3
health,3
little,3
shows,3
prevent,3
sign,3
video,3
told,3
explore,3
ahead,3
usually,3
named,3
family,3
accuracy,3
started,3
cases,3
dedicated,3
sense,3
provide,3
instead,3
including,3
systems,3
emphasize,3
someone,3
views,3
processes,3
war,3
challenges,3
bad,3
members,3
think,3
first,3
errors,3
similarly,3
anyone,3
reflecting,3
believe,3
population,3
last,3
able,3
connected,3
plan,3
democratic,3
clear,3
disease,3
controls,3
set,3
connections,3
still,3
ways,3
shared,3
reported,3
connection,3
child,3
country,3
almost,3
engaged,3
development,3
purpose,3
photo,3
mistakes,3
majority,3
day,3
whatsapp,3
sensational,3
works,3
supportive,3
step,3
citizens,3
next,3
medium,3
becoming,3
stories,3
strengthening,3
inclusive,3
contribute,3
single,3
understand,3
requires,3
activated,2
helped,2
hate,2
protest,2
encourage,2
opportunities,2
terror,2
resources,2
affect,2
vast,2
guiding,2
spiritual,2
smaller,2
refugee,2
direct,2
likely,2
saw,2
networks,2
current,2
learned,2
increasing,2
evolving,2
empower,2
lack,2
path,2
strong,2
change,2
healthy,2
larger,2
extremes,2
diagnosed,2
options,2
uniquely,2
live,2
call,2
tell,2
hold,2
effort,2
graphic,2
meet,2
control,2
pieces,2
states,2
united,2
goal,2
get,2
hoaxes,2
okay,2
capture,2
membership,2
coming,2
grow,2
man,2
natural,2
register,2
complexity,2
responsibility,2
allow,2
sexually,2
course,2
committed,2
actually,2
easier,2
nation,2
half,2
discuss,2
bigger,2
term,2
settings,2
establishing,2
positioned,2
beyond,2
disasters,2
network,2
looking,2
seriously,2
adapt,2
internet,2
offline,2
free,2
completely,2
care,2
enough,2
major,2
striking,2
feel,2
done,2
fight,2
least,2
interests,2
polarized,2
jobs,2
require,2
matter,2
historical,2
mitigating,2
india,2
measure,2
voices,2
sure,2
reach,2
services,2
mitigate,2
industry,2
traditional,2
occasion,2
institutions,2
joining,2
let,2
black,2
overall,2
areas,2
teams,2
experiences,2
refugees,2
disaster,2
intelligence,2
national,2
reinforce,2
ability,2
threats,2
artificial,2
rebuilds,2
anew,2
responses,2
however,2
declining,2
improve,2
climate,2
enabling,2
focused,2
whole,2
among,2
point,2
decline,2
second,2
encryption,2
increase,2
much,2
enable,2
whatever,2
engage,2
elections,2
region,2
eventually,2
worry,2
movements,2
terrorist,2
develop,2
began,2
reminded,2
events,2
evolve,2
levels,2
opinion,2
fighting,2
directly,2
solve,2
organization,2
left,2
starting,2
violent,2
spread,2
parents,2
save,2
showing,2
necessary,2
fully,2
tribes,2
making,2
exposes,2
complete,2
comments,2
continue,2
provides,2
steps,2
business,2
update,2
viewpoints,2
although,2
post,2
getting,2
ideological,2
commit,2
communication,2
within,2
billions,2
depicting,2
accountability,2
start,2
lot,2
form,2
spam,2
line,2
newsworthy,2
raising,2
never,2
prevents,2
historically,2
emotional,2
similar,2
election,2
dialogue,2
diverse,2
daily,2
compared,2
event,2
shelter,2
monis,2
shown,2
journey,2
suited,2
happening,2
using,2
photos,2
limited,1
nepal,1
modi,1
reviewers,1
mark,1
controversial,1
go,1
amplified,1
children,1
marching,1
suicide,1
religion,1
